| Economy | Bosnia and Herzegovina |
| --- | --- |
| Economy - overview: | Bosnia and Herzegovina has a transitional economy with limited market reforms. The economy relies heavily on the export of metals, energy, textiles, and furniture as well as on remittances and foreign aid. A highly decentralized government hampers economic policy coordination and reform, while excessive bureaucracy and a segmented market discourage foreign investment. The economy is among the least competitive in the region. Foreign banks, primarily from Austria and Italy, control much of the banking sector, though the largest bank is a private domestic one. The konvertibilna marka (convertible mark) - the national currency introduced in 1998 - is pegged to the euro through a currency board arrangement, which has maintained confidence in the currency and has facilitated reliable trade links with European partners. Bosnia and Herzegovina became a full member of the Central European Free Trade Agreement in September 2007. In 2016, Bosnia began a three-year IMF loan program, but it has struggled to meet the economic reform benchmarks required to receive all funding installments. |
| Economy - overview: | Bosnia and Herzegovina's private sector is growing slowly, but foreign investment dropped sharply after 2007 and remains low. High unemployment remains the most serious macroeconomic problem. Successful implementation of a value-added tax in 2006 provided a steady source of revenue for the government and helped rein in gray-market activity, though public perceptions of government corruption and misuse of taxpayer money has encouraged a large informal economy to persist. National-level statistics have improved over time, but a large share of economic activity remains unofficial and unrecorded. |
| Economy - overview: | Bosnia and Herzegovina's top economic priorities are: acceleration of integration into the EU; strengthening the fiscal system; public administration reform; World Trade Organization membership; and securing economic growth by fostering a dynamic, competitive private sector. |
| GDP (purchasing power parity): | $44.83 billion (2017 est.) |
| GDP (purchasing power parity): | $43.54 billion (2016 est.) |
| GDP (purchasing power parity): | $42.19 billion (2015 est.) |
| GDP (purchasing power parity): | note: data are in 2017 dollars |
| GDP (official exchange rate): | $18.17 billion (2017 est.) |
| GDP - real growth rate: | 3% (2017 est.) |
| GDP - real growth rate: | 3.2% (2016 est.) |
| GDP - real growth rate: | 3.1% (2015 est.) |
| GDP - per capita (PPP): | $12,800 (2017 est.) |
| GDP - per capita (PPP): | $12,400 (2016 est.) |
| GDP - per capita (PPP): | $11,900 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 11% of GDP (2017 est.) |
| Gross national saving: | 11.1% of GDP (2016 est.) |
| Gross national saving: | 10.5% of GDP (2015 est.) |
