| Economy | Iran |
| --- | --- |
| Economic overview: | Iran's economy is marked by statist policies, inefficiencies, and reliance on oil and gas exports, but Iran also possesses significant agricultural, industrial, and service sectors. The Iranian government directly owns and operates hundreds of state-owned enterprises and indirectly controls many companies affiliated with the country's security forces. Distortions - including corruption, price controls, subsidies, and a banking system holding billions of dollars of non-performing loans - weigh down the economy, undermining the potential for private-sector-led growth. |
| Economic overview: | Private sector activity includes small-scale workshops, farming, some manufacturing, and services, in addition to medium-scale construction, cement production, mining, and metalworking. Significant informal market activity flourishes and corruption is widespread. |
| Economic overview: | The lifting of most nuclear-related sanctions under the Joint Comprehensive Plan of Action (JCPOA) in January 2016 sparked a restoration of Iranâ€™s oil production and revenue that drove rapid GDP growth, but economic growth declined in 2017 as oil production plateaued. The economy continues to suffer from low levels of investment and declines in productivity since before the JCPOA, and from high levels of unemployment, especially among women and college-educated Iranian youth. |
| Economic overview: | In May 2017, the re-election of President Hasan RUHANI generated widespread public expectations that the economic benefits of the JCPOA would expand and reach all levels of society. RUHANI will need to implement structural reforms that strengthen the banking sector and improve Iranâ€™s business climate to attract foreign investment and encourage the growth of the private sector. Sanctions that are not related to Iranâ€™s nuclear program remain in effect, and theseâ€”plus fears over the possible re-imposition of nuclear-related sanctionsâ€”will continue to deter foreign investors from engaging with Iran. |
| GDP real growth rate: | 3.7% (2017 est.) |
| GDP real growth rate: | 12.5% (2016 est.) |
| GDP real growth rate: | -1.6% (2015 est.) |
| Inflation rate (consumer prices): | 10% (2017 est.) |
| Inflation rate (consumer prices): | 9.6% (2017 est.) |
| Inflation rate (consumer prices): | 9.1% (2016 est.) |
| Inflation rate (consumer prices): | note: official Iranian estimate |
| Credit ratings: | GDP (purchasing power parity) - real: |
| Credit ratings: | $1.64 trillion (2017 est.) |
| Credit ratings: | $1.581 trillion (2016 est.) |
| Credit ratings: | $1.405 trillion (2015 est.) |
| Credit ratings: | note: data are in 2017 dollars |
| GDP (official exchange rate): | $581.252 billion (2019 est.) |
| GDP - per capita (PPP): | $20,100 (2017 est.) |
| GDP - per capita (PPP): | $19,600 (2016 est.) |
| GDP - per capita (PPP): | $17,700 (2015 est.) |
| GDP - per capita (PPP): | note: data are in 2017 dollars |
| Gross national saving: | 37.9% of GDP (2017 est.) |
| Gross national saving: | 37.6% of GDP (2016 est.) |
| Gross national saving: | 35.2% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 9.6% (2016 est.) |
| GDP - composition, by sector of origin: | industry: 35.3% (2016 est.) |
| GDP - composition, by sector of origin: | services: 55% (2017 est.) |
| GDP - composition, by end use: | household consumption: 49.7% (2017 est.) |
| GDP - composition, by end use: | government consumption: 14% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 20.6% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 14.5% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 26% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -24.9% (2017 est.) |
| Ease of Doing Business Index scores: | 67.8 (2020) |
| Agriculture - products: | wheat, rice, other grains, sugar beets, sugarcane, fruits, nuts, cotton; dairy products, wool; caviar |
