| Economy | KYRGYZSTAN |
| --- | --- |
| Economy - overview: | Kyrgyzstan is a poor, mountainous country with an economy dominated by minerals extraction, agriculture, and reliance on remittances from citizens working abroad. Cotton, wool, and meat are the main agricultural products, although only cotton is exported in any quantity. Other exports include gold, mercury, uranium, natural gas, and - in some years - electricity. The country has sought to attract foreign investment to expand its export base, including construction of hydroelectric dams, but a difficult investment climate and an ongoing legal battle with Canadian investors in the nation’s largest gold mine deter potential investors. Remittances from Kyrgyz migrant workers in Russia and Kazakhstan are equivalent to about a quarter of Kyrgyzstan’s GDP. |
| Economy - overview: | Following independence, Kyrgyzstan rapidly carried out market reforms, such as improving the regulatory system and instituting land reform. Kyrgyzstan was the first Commonwealth of Independent States (CIS) country to be accepted into the World Trade Organization. The government has privatized much of its ownership shares in public enterprises. Despite these reforms, the country suffered a severe drop in production in the early 1990s and has again faced slow growth in recent years as the global financial crisis and declining oil prices have damaged economies across Central Asia. |
| Economy - overview: | Kyrgyz leaders hope the country’s August 2015 accession to the Eurasian Economic Union will bolster trade and investment, but slowing economies in Russia and China, low commodity prices, and currency fluctuations continue to hamper economic growth. The keys to future growth include progress in fighting corruption, improving administrative transparency, restructuring domestic industry, and attracting foreign aid and investment. |
| GDP (purchasing power parity): | $20.1 billion (2015 est.) |
| GDP (purchasing power parity): | $19.42 billion (2014 est.) |
| GDP (purchasing power parity): | $18.75 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $6.65 billion (2015 est.) |
| GDP - real growth rate: | 3.5% (2015 est.) |
| GDP - real growth rate: | 3.6% (2014 est.) |
| GDP - real growth rate: | 10.5% (2013 est.) |
| GDP - per capita (PPP): | $3,400 (2015 est.) |
| GDP - per capita (PPP): | $3,300 (2014 est.) |
| GDP - per capita (PPP): | $3,200 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 20.6% of GDP (2015 est.) |
| Gross national saving: | 9.3% of GDP (2014 est.) |
| Gross national saving: | 9.3% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 81.3% |
| GDP - composition, by end use: | government consumption: 17.9% |
| GDP - composition, by end use: | investment in fixed capital: 30.2% |
| GDP - composition, by end use: | investment in inventories: 2.7% |
| GDP - composition, by end use: | exports of goods and services: 36.3% |
| GDP - composition, by end use: | imports of goods and services: -68.4% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 17.7% |
| GDP - composition, by sector of origin: | industry: 26% |
| GDP - composition, by sector of origin: | services: 56.3% (2015 est.) |
| Agriculture - products: | cotton, potatoes, vegetables, grapes, fruits and berries; sheep, goats, cattle, wool |
| Industries: | small machinery, textiles, food processing, cement, shoes, sawn logs, refrigerators, furniture, electric motors, gold, rare earth metals |
| Industrial production growth rate: | 0.9% (2015 est.) |
| Labor force: | 2.732 million (2015 est.) |
| Labor force - by occupation: | agriculture: 48% |
| Labor force - by occupation: | industry: 12.5% |
| Labor force - by occupation: | services: 39.5% (2005 est.) |
| Unemployment rate: | 8% (2013 est.) |
| Unemployment rate: | 8.1% (2014 est.) |
| Population below poverty line: | 33.7% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.8% |
| Household income or consumption by percentage share: | highest 10%: 27.8% (2009 est.) |
| Distribution of family income - Gini index: | 33.4 (2007) |
| Distribution of family income - Gini index: | 29 (2001) |
| Budget: | revenues: $1.987 billion |
| Budget: | expenditures: $2.085 billion (2015 est.) |
| Taxes and other revenues: | 29.9% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | -1.5% of GDP (2015 est.) |
| Public debt: | 68.8% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 6.5% (2015 est.) |
| Inflation rate (consumer prices): | 7.5% (2014 est.) |
| Central bank discount rate: | 13.73% (22 December 2011) |
| Central bank discount rate: | 2.5% (31 December 2010) |
| Commercial bank prime lending rate: | 24.25% (31 December 2015 est.) |
| Commercial bank prime lending rate: | 22.36% (31 December 2014 est.) |
| Stock of narrow money: | $928.2 million (31 December 2015 est.) |
| Stock of narrow money: | $1.062 billion (31 December 2014 est.) |
| Stock of broad money: | $1.333 billion (31 December 2015 est.) |
| Stock of broad money: | $1.399 billion (31 December 2014 est.) |
| Stock of domestic credit: | $831.4 million (31 December 2015 est.) |
| Stock of domestic credit: | $1.074 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $165 million (31 December 2012 est.) |
| Market value of publicly traded shares: | $165 million (31 December 2011 est.) |
| Market value of publicly traded shares: | $79 million (31 December 2010 est.) |
| Current account balance: | -$979 million (2015 est.) |
| Current account balance: | -$1.245 billion (2014 est.) |
| Exports: | $1.61 billion (2015 est.) |
| Exports: | $1.794 billion (2014 est.) |
| Exports - commodities: | gold, cotton, wool, garments, meat; mercury, uranium, electricity; machinery; shoes |
| Exports - partners: | Switzerland 26%, Uzbekistan 22.6%, Kazakhstan 20.8%, UAE 4.9%, Turkey 4.5%, Afghanistan 4.5%, Russia 4.2% (2015) |
| Imports: | $3.648 billion (2015 est.) |
| Imports: | $5.204 billion (2014 est.) |
| Imports - commodities: | oil and gas, machinery and equipment, chemicals, foodstuffs |
| Imports - partners: | China 56.4%, Russia 17.1%, Kazakhstan 9.9% (2015) |
