| Economy | Morocco |
| --- | --- |
| Economy - overview: | Morocco has capitalized on its proximity to Europe and relatively low labor costs to build a diverse, open, market-oriented economy. In the 1980s Morocco was a heavily indebted country before pursuing austerity measures and pro-market reforms, overseen by the IMF. Since taking the throne in 1999, King MOHAMMED VI has presided over a stable economy marked by steady growth, low inflation, and gradually falling unemployment, although a poor harvest and economic difficulties in Europe contributed to an economic slowdown in 2012. Industrial development strategies and infrastructure improvements - most visibly illustrated by a new port and free trade zone near Tangier - are improving Morocco's competitiveness. Morocco also seeks to expand its renewable energy capacity with a goal of making renewable 40% of electricity output by 2020. Key sectors of the economy include agriculture, tourism, phosphates, textiles, apparel, and subcomponents. To boost exports, Morocco entered into a bilateral Free Trade Agreement with the United States in 2006 and an Advanced Status agreement with the European Union in 2008. Despite Morocco's economic progress, the country suffers from high unemployment, poverty, and illiteracy, particularly in rural areas. In 2011 and 2012, high prices on fuel - which is subsidized and almost entirely imported - strained the government's budget and widened the country's current account deficit. In the fall of 2013, Morocco capped some of its fuel subsidies in an effort to gradually reduce the country’s large budgetary deficit. Key economic challenges for Morocco include fighting corruption and reforming the education system, the judiciary, and the government's costly subsidy program. |
| GDP (purchasing power parity): | $180 billion (2013 est.) |
| GDP (purchasing power parity): | $171.2 billion (2012 est.) |
| GDP (purchasing power parity): | $166.7 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $104.8 billion (2013 est.) |
| GDP - real growth rate: | 5.1% (2013 est.) |
| GDP - real growth rate: | 2.7% (2012 est.) |
| GDP - real growth rate: | 5% (2011 est.) |
| GDP - per capita (PPP): | $5,500 (2013 est.) |
| GDP - per capita (PPP): | $5,300 (2012 est.) |
| GDP - per capita (PPP): | $5,200 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 25.4% of GDP (2013 est.) |
| Gross national saving: | 25.1% of GDP (2012 est.) |
| Gross national saving: | 27.6% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 59.5% |
| GDP - composition, by end use: | government consumption: 19.1% |
| GDP - composition, by end use: | investment in fixed capital: 30.8% |
| GDP - composition, by end use: | investment in inventories: 3.7% |
| GDP - composition, by end use: | exports of goods and services: 35.4% |
| GDP - composition, by end use: | imports of goods and services: -48.5% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 15.1% |
| GDP - composition, by sector of origin: | industry: 31.7% |
| GDP - composition, by sector of origin: | services: 53.2% (2012 est.) |
| Agriculture - products: | barley, wheat, citrus fruits, grapes, vegetables, olives; livestock; wine |
| Industries: | phosphate mining and processing, food processing, leather goods, textiles, construction, energy, tourism |
| Industrial production growth rate: | 1.2% (2013 est.) |
| Labor force: | 11.73 million (2013 est.) |
| Labor force - by occupation: | agriculture: 44.6% |
| Labor force - by occupation: | industry: 19.8% |
| Labor force - by occupation: | services: 35.5% (2006 est.) |
| Unemployment rate: | 9.5% (2013 est.) |
| Unemployment rate: | 9% (2012 est.) |
| Population below poverty line: | 15% (2007 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.7% |
| Household income or consumption by percentage share: | highest 10%: 33.2% (2007) |
| Distribution of family income - Gini index: | 40.9 (2007 est.) |
| Distribution of family income - Gini index: | 39.5 (1999 est.) |
| Budget: | revenues: $26.07 billion |
| Budget: | expenditures: $34.51 billion (2013 est.) |
| Taxes and other revenues: | 24.9% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -8% of GDP (2013 est.) |
| Public debt: | 76.9% of GDP (2013 est.) |
| Public debt: | 71.2% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.5% (2013 est.) |
| Inflation rate (consumer prices): | 1.2% (2012 est.) |
| Central bank discount rate: | 6.5% (31 December 2010 est.) |
