| Economy | Netherlands |
| --- | --- |
| Economy - overview: | The Dutch economy is the fifth-largest economy in the euro-zone and is noted for its stable industrial relations, moderate unemployment and inflation, a sizable trade surplus, and an important role as a European transportation hub. Industrial activity is predominantly in food processing, chemicals, petroleum refining, and electrical machinery. A highly mechanized agricultural sector employs only 2% of the labor force but provides large surpluses for the food-processing industry and for exports. The Netherlands, along with 11 of its EU partners, began circulating the euro currency on 1 January 2002. After 26 years of uninterrupted economic growth, the Dutch economy - highly dependent on an international financial sector and international trade - contracted by 3.5% in 2009 as a result of the global financial crisis. The Dutch financial sector suffered, due in part to the high exposure of some Dutch banks to U.S. mortgage-backed securities. In 2008, the government nationalized two banks and injected billions of dollars of capital into other financial institutions, to prevent further deterioration of a crucial sector. The government also sought to boost the domestic economy by accelerating infrastructure programs, offering corporate tax breaks for employers to retain workers, and expanding export credit facilities. The stimulus programs and bank bailouts, however, resulted in a government budget deficit of 5.3% of GDP in 2010 that contrasted sharply with a surplus of 0.7% in 2008. The government of Prime Minister Mark RUTTE began implementing fiscal consolidation measures in early 2011, mainly reductions in expenditures, which resulted in an improved budget deficit of 3.8% of GDP. In 2012 tax revenues dropped nearly 9%, and GDP contracted. Although jobless claims continued to grow, the unemployment rate remained relatively low at 6.8 percent. |
| GDP (purchasing power parity): | $709.5 billion (2012 est.) |
| GDP (purchasing power parity): | $712.8 billion (2011 est.) |
| GDP (purchasing power parity): | $705.1 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $770.2 billion (2012 est.) |
| GDP - real growth rate: | -0.5% (2012 est.) |
| GDP - real growth rate: | 1.1% (2011 est.) |
| GDP - real growth rate: | 1.6% (2010 est.) |
| GDP - per capita (PPP): | $42,300 (2012 est.) |
| GDP - per capita (PPP): | $42,700 (2011 est.) |
| GDP - per capita (PPP): | $42,400 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 2.8% |
| GDP - composition by sector: | industry: 24.1% |
| GDP - composition by sector: | services: 73.2% (2012 est.) |
| Labor force: | 7.746 million (2012 est.) |
| Labor force - by occupation: | agriculture: 2% |
| Labor force - by occupation: | industry: 18% |
| Labor force - by occupation: | services: 80% (2005 est.) |
| Unemployment rate: | 6.8% (2012 est.) |
