| Economy | PORTUGAL |
| --- | --- |
| Economy - overview: | Portugal has become a diversified and increasingly service-based economy since joining the European Community - the EU's predecessor - in 1986. Over the following two decades, successive governments privatized many state-controlled firms and liberalized key areas of the economy, including the financial and telecommunications sectors. The country joined the Economic and Monetary Union (EMU) in 1999 and began circulating the euro on 1 January 2002 along with 11 other EU members. The economy grew by more than the EU average for much of the 1990s, but the rate of growth slowed in 2001-08. The economy contracted in 2009, and fell again from 2011 to 2014, as the government implemented spending cuts and tax increases to comply with conditions of an EU-IMF financial rescue package, signed in May 2011. A modest recovery began in 2013 and gathered steam in in 2014 due to strong export performance and a rebound in private consumption. Although austerity measures were instituted to reduce the large budget deficit, they contributed to record unemployment and a wave of emigration not seen since the 1960s. A continued reduction in private- and public-sector debt could weigh on consumption and investment in 2015, holding back a stronger recovery. The government of Pedro PASSOS COELHO has passed legislation aimed at reducing labor market rigidity, and, this, along with sustained fiscal discipline, could make Portugal more attractive to foreign direct investment. The government reduced the budget deficit from 11.2% of GDP in 2010 to 4.8% in 2014, a figure that is significantly higher than the EU-IMF target of 4%. The government has pledged to lower the deficit to under 3% of GDP in 2015 in order to comply with EU fiscal obligations, under the excessive deficit procedure. Legislative elections in 2015 could increase the risk of fiscal slippage and undermine investor confidence in Portugal&rsquo;s economy, which has improved over the course of the EU-IMF program. EU-IMF financing expired in May 2014. |
| GDP (purchasing power parity): | $280.4 billion (2014 est.) |
| GDP (purchasing power parity): | $277.9 billion (2013 est.) |
| GDP (purchasing power parity): | $282.4 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $230 billion (2014 est.) |
| GDP - real growth rate: | 0.9% (2014 est.) |
| GDP - real growth rate: | -1.6% (2013 est.) |
| GDP - real growth rate: | -4% (2012 est.) |
| GDP - per capita (PPP): | $27,000 (2014 est.) |
| GDP - per capita (PPP): | $26,700 (2013 est.) |
| GDP - per capita (PPP): | $27,200 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 15.5% of GDP (2014 est.) |
| Gross national saving: | 15% of GDP (2013 est.) |
| Gross national saving: | 14.1% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 64.6% |
| GDP - composition, by end use: | government consumption: 19.1% |
| GDP - composition, by end use: | investment in fixed capital: 15% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 39.6% |
| GDP - composition, by end use: | imports of goods and services: -38.2% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.6% |
| GDP - composition, by sector of origin: | industry: 22.4% |
| GDP - composition, by sector of origin: | services: 75% (2014 est.) |
| Agriculture - products: | grain, potatoes, tomatoes, olives, grapes; sheep, cattle, goats, pigs, poultry, dairy products; fish |
| Industries: | textiles, clothing, footwear, wood and cork, paper and pulp, chemicals, lubricants, automobiles and auto parts, base metals, minerals, porcelain and ceramics, glassware, technology, telecommunications; dairy products, wine, other foodstuffs; ship construction and refurbishment; tourism, plastics, financial services, optics |
| Industrial production growth rate: | -1.3% (2014 est.) |
| Labor force: | 5.226 million (2014 est.) |
| Labor force - by occupation: | agriculture: 8.6% |
| Labor force - by occupation: | industry: 23.9% |
| Labor force - by occupation: | services: 67.5% (2014 est.) |
| Unemployment rate: | 13.9% (2014 est.) |
| Unemployment rate: | 16.2% (2013 est.) |
| Population below poverty line: | 18.7% (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.1% |
| Household income or consumption by percentage share: | highest 10%: 28.4% (1995 est.) |
| Distribution of family income - Gini index: | 34.2 (2013 est.) |
| Distribution of family income - Gini index: | 34.2 (2012 est.) |
| Budget: | revenues: $99.6 billion |
| Budget: | expenditures: $110.7 billion (2014 est.) |
| Taxes and other revenues: | 43.7% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -4.8% of GDP (2014 est.) |
| Public debt: | 128.7% of GDP (2014 est.) |
| Public debt: | 128% of GDP (2013 est.) |
| Public debt: | note: data cover general government debt, and includes debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities; the data include debt issued by subnational entities, as well as intra-governmental debt; intra-governmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | -0.2% (2014 est.) |
| Inflation rate (consumer prices): | 0.3% (2013 est.) |
| Central bank discount rate: | 0.05% (31 December 2014) |
| Central bank discount rate: | 0.25% (31 December 2013) |
| Central bank discount rate: | note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area |
| Commercial bank prime lending rate: | 5.08% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 5.69% (31 December 2013 est.) |
| Stock of narrow money: | $91.4 billion (31 December 2014 est.) |
| Stock of narrow money: | $97.65 billion (31 December 2013 est.) |
| Stock of narrow money: | note: see entry for the European Union for money supply for the entire euro area; the European Central Bank (ECB) controls monetary policy for the 18 members of the Economic and Monetary Union (EMU); individual members of the EMU do not control the quantity of money circulating within their own borders |
