| Economy | UNITED ARAB EMIRATES |
| --- | --- |
| Economy - overview: | The UAE has an open economy with a high per capita income and a sizable annual trade surplus. Successful efforts at economic diversification have reduced the portion of GDP based on oil and gas output to 25%. Since the discovery of oil in the UAE more than 30 years ago, the country has undergone a profound transformation from an impoverished region of small desert principalities to a modern state with a high standard of living. The government has increased spending on job creation and infrastructure expansion and is opening up utilities to greater private sector involvement. The country's free trade zones - offering 100% foreign ownership and zero taxes - are helping to attract foreign investors. The global financial crisis of 2008, tight international credit, and deflated asset prices constricted the economy in 2009. UAE authorities tried to blunt the crisis by increasing spending and boosting liquidity in the banking sector. The crisis hit Dubai hardest, as it was heavily exposed to depressed real estate prices. Dubai lacked sufficient cash to meet its debt obligations, prompting global concern about its solvency and ultimately a $20 billion bailout from the UAE Central Bank and Abu Dhabi-emirate government that was refinanced in March 2014. Dependence on oil, a large expatriate workforce, and growing inflation pressures are significant long-term challenges. The UAE's strategic plan for the next few years focuses on economic diversification and creating more job opportunities for nationals through improved education and increased private sector employment. |
| GDP (purchasing power parity): | $617.1 billion (2014 est.) |
| GDP (purchasing power parity): | $590.2 billion (2013 est.) |
| GDP (purchasing power parity): | $565.7 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $399.5 billion (2014 est.) |
| GDP - real growth rate: | 4.6% (2014 est.) |
| GDP - real growth rate: | 4.3% (2013 est.) |
| GDP - real growth rate: | 7.2% (2012 est.) |
| GDP - per capita (PPP): | $66,300 (2014 est.) |
| GDP - per capita (PPP): | $63,400 (2013 est.) |
| GDP - per capita (PPP): | $60,800 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 38.3% of GDP (2014 est.) |
| Gross national saving: | 41.6% of GDP (2013 est.) |
| Gross national saving: | 44.5% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 48.1% |
| GDP - composition, by end use: | government consumption: 7.5% |
| GDP - composition, by end use: | investment in fixed capital: 23.7% |
| GDP - composition, by end use: | investment in inventories: 0.6% |
| GDP - composition, by end use: | exports of goods and services: 98% |
