| Economy | United Kingdom |
| --- | --- |
| Economy - overview: | The UK, a leading trading power and financial center, is the third largest economy in Europe after Germany and France. Over the past two decades, the government has greatly reduced public ownership. Agriculture is intensive, highly mechanized, and efficient by European standards, producing about 60% of food needs with less than 2% of the labor force. The UK has large coal, natural gas, and oil resources, but its oil and natural gas reserves are declining and the UK became a net importer of energy in 2005. Services, particularly banking, insurance, and business services, are key drivers of British GDP growth. Manufacturing, meanwhile, has declined in importance but still accounts for about 10% of economic output. After emerging from recession in 1992, Britain's economy enjoyed the longest period of expansion on record during which time growth outpaced most of Western Europe. In 2008, however, the global financial crisis hit the economy particularly hard, due to the importance of its financial sector. Falling home prices, high consumer debt, and the global economic slowdown compounded Britain's economic problems, pushing the economy into recession in the latter half of 2008 and prompting the then BROWN (Labour) government to implement a number of measures to stimulate the economy and stabilize the financial markets; these included nationalizing parts of the banking system, temporarily cutting taxes, suspending public sector borrowing rules, and moving forward public spending on capital projects. Facing burgeoning public deficits and debt levels, in 2010 the CAMERON-led coalition government (between Conservatives and Liberal Democrats) initiated a five-year austerity program, which aimed to lower London's budget deficit from about 11% of GDP in 2010 to nearly 1% by 2015. In November 2011, Chancellor of the Exchequer George OSBORNE announced additional austerity measures through 2017 largely due to the euro-zone debt crisis. The CAMERON government raised the value added tax from 17.5% to 20% in 2011. It has pledged to reduce the corporation tax rate to 21% by 2014. The Bank of England (BoE) implemented an asset purchase program of £375 billion (approximately $605 billion) as of December 2013. During times of economic crisis, the BoE coordinates interest rate moves with the European Central Bank, but Britain remains outside the European Economic and Monetary Union (EMU). In 2012, weak consumer spending and subdued business investment weighed on the economy, however, in 2013 GDP grew 1.4%, accelerating unexpectedly in the second half of the year because of greater consumer spending and a recovering housing market. The budget deficit is falling but remains high at nearly 7% and public debt has continued to increase. |
| GDP (purchasing power parity): | $2.387 trillion (2013 est.) |
| GDP (purchasing power parity): | $2.343 trillion (2012 est.) |
| GDP (purchasing power parity): | $2.341 trillion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $2.49 trillion (2013 est.) |
| GDP - real growth rate: | 1.8% (2013 est.) |
| GDP - real growth rate: | 0.1% (2012 est.) |
| GDP - real growth rate: | 0.9% (2011 est.) |
| GDP - per capita (PPP): | $37,300 (2013 est.) |
| GDP - per capita (PPP): | $37,100 (2012 est.) |
| GDP - per capita (PPP): | $37,300 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 10.5% of GDP (2013 est.) |
| Gross national saving: | 11% of GDP (2012 est.) |
| Gross national saving: | 13.7% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 66.5% |
| GDP - composition, by end use: | government consumption: 21.4% |
| GDP - composition, by end use: | investment in fixed capital: 13.8% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 31.1% |
| GDP - composition, by end use: | imports of goods and services: -33.2% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% |
| GDP - composition, by sector of origin: | industry: 20.5% |
| GDP - composition, by sector of origin: | services: 78.9% (2013 est.) |
| Agriculture - products: | cereals, oilseed, potatoes, vegetables; cattle, sheep, poultry; fish |
| Industries: | machine tools, electric power equipment, automation equipment, railroad equipment, shipbuilding, aircraft, motor vehicles and parts, electronics and communications equipment, metals, chemicals, coal, petroleum, paper and paper products, food processing, textiles, clothing, other consumer goods |
| Industrial production growth rate: | -0.3% (2013 est.) |
| Labor force: | 30.15 million (2013 est.) |
| Labor force - by occupation: | agriculture: 1.4% |
