| Economy | VANUATU |
| --- | --- |
| Economy - overview: | This South Pacific island economy is based primarily on small-scale agriculture, which provides a living for about two-thirds of the population. Fishing, offshore financial services, and tourism, with nearly 350,000 visitors in 2016, are other mainstays of the economy. Tourism has struggled after Efate, the most populous and popular island for tourists, was damaged by Tropical Cyclone Pam in 2015. Ongoing infrastructure difficulties at Port Vila’s Bauerfield Airport have caused air travel disruptions, further hampering tourism numbers. Australia and New Zealand are the main source of tourists and foreign aid. A small light industry sector caters to the local market. Tax revenues come mainly from import duties. Mineral deposits are negligible; the country has no known petroleum deposits. |
| Economy - overview: | Economic development is hindered by dependence on relatively few commodity exports, vulnerability to natural disasters, and long distances from main markets and between constituent islands. In response to foreign concerns, the government has promised to tighten regulation of its offshore financial center. |
| Economy - overview: | Since 2002, the government has stepped up efforts to boost tourism through improved air connections, resort development, and cruise ship facilities. Agriculture, especially livestock farming, is a second target for growth. |
| GDP (purchasing power parity): | $740 million (2016 est.) |
| GDP (purchasing power parity): | $703 million (2015 est.) |
| GDP (purchasing power parity): | $684 million (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $807 million (2016 est.) |
| GDP - real growth rate: | 4% (2016 est.) |
| GDP - real growth rate: | 1.6% (2015 est.) |
| GDP - real growth rate: | 2.3% (2014 est.) |
| GDP - per capita (PPP): | $2,700 (2016 est.) |
| GDP - per capita (PPP): | $2,600 (2015 est.) |
| GDP - per capita (PPP): | $2,700 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| GDP - composition, by end use: | household consumption: 59.7% |
| GDP - composition, by end use: | government consumption: 17.6% |
| GDP - composition, by end use: | investment in fixed capital: 29% |
| GDP - composition, by end use: | investment in inventories: 1% |
| GDP - composition, by end use: | exports of goods and services: 40.7% |
| GDP - composition, by end use: | imports of goods and services: -48% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 26.9% |
| GDP - composition, by sector of origin: | industry: 9% |
| GDP - composition, by sector of origin: | services: 64.2% (2016 est.) |
| Agriculture - products: | copra, coconuts, cocoa, coffee, taro, yams, fruits, vegetables; beef; fish |
| Industries: | food and fish freezing, wood processing, meat canning |
| Industrial production growth rate: | 4% (2016 est.) |
| Labor force: | 115,900 (2007 est.) |
| Labor force - by occupation: | agriculture: 65% |
| Labor force - by occupation: | industry: 5% |
| Labor force - by occupation: | services: 30% (2000 est.) |
| Unemployment rate: | 1.7% (1999 est.) |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $205.6 million |
| Budget: | expenditures: $201 million (2016 est.) |
| Taxes and other revenues: | 26.6% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | 0.6% of GDP (2016 est.) |
| Public debt: | 31.3% of GDP (2016 est.) |
| Public debt: | 25.6% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.9% (2016 est.) |
| Inflation rate (consumer prices): | 2.4% (2015 est.) |
| Central bank discount rate: | 20% (31 December 2010) |
| Central bank discount rate: | 6% (31 December 2009) |
| Commercial bank prime lending rate: | 2.95% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 3.63% (31 December 2015 est.) |
| Stock of narrow money: | $379.9 million (31 December 2016 est.) |
| Stock of narrow money: | $320.9 million (31 December 2015 est.) |
| Stock of broad money: | $641 million (31 December 2016 est.) |
| Stock of broad money: | $588.7 million (31 December 2015 est.) |
| Stock of domestic credit: | $463.4 million (31 December 2016 est.) |
| Stock of domestic credit: | $477 million (31 December 2015 est.) |
| Market value of publicly traded shares: | $NA |
| Current account balance: | $-30 million (2016 est.) |
| Current account balance: | $-82.1 million (2015 est.) |
| Exports: | $53.5 million (2016 est.) |
| Exports: | $38.8 million (2015 est.) |
| Exports - commodities: | copra, beef, cocoa, timber, kava, coffee |
| Exports - partners: | Ecuador 18.4%, Australia 13.8%, Venezuela 10.1%, US 9.8%, Japan 8.2%, UK 6.7%, France 5.7%, Hong Kong 5.2% (2016) |
| Imports: | $308.5 million (2016 est.) |
| Imports: | $307.9 million (2015 est.) |
| Imports - commodities: | machinery and equipment, foodstuffs, fuels |
| Imports - partners: | Australia 27.8%, NZ 17.6%, China 10.5%, France 10%, Singapore 6.1%, Thailand 4.8% (2016) |
| Reserves of foreign exchange and gold: | $267.4 million (31 December 2016 est.) |
| Reserves of foreign exchange and gold: | $269.2 million (31 December 2015 est.) |
| Debt - external: | $182.5 million (31 December 2016 est.) |
| Debt - external: | $170.2 million (31 December 2015 est.) |
| Stock of direct foreign investment - at home: | $535.9 million (31 December 2016 est.) |
| Stock of direct foreign investment - at home: | $500.9 million (31 December 2015 est.) |
| Stock of direct foreign investment - abroad: | $22.4 million (31 December 2016 est.) |
| Stock of direct foreign investment - abroad: | $22.6 million (31 December 2015 est.) |
| Exchange rates: | vatu (VUV) per US dollar - |
| Exchange rates: | 108.48 (2016 est.) |
| Exchange rates: | 108.48 (2015 est.) |
| Exchange rates: | 108.99 (2014 est.) |
| Exchange rates: | 97.07 (2013 est.) |
| Exchange rates: | 92.64 (2012 est.) |
