| Economy | Djibouti |
| --- | --- |
| Economy - overview: | Djibouti's economy is based on service activities connected with the country's strategic location as a deepwater port on the Red Sea. Three-fourths of Djibouti's inhabitants live in the capital city; the remainder are mostly nomadic herders. Scant rainfall limits crop production to small quantities of fruits and vegetables, and most food must be imported. Djibouti provides services as both a transit port for the region and an international transshipment and refueling center. Imports, exports, and re-exports - primarily of coffee from landlocked neighbor Ethiopia - represent 70% of port activity at Djibouti's container terminal. Djibouti has few natural resources and little industry. The nation is, therefore, heavily dependent on foreign assistance to help support its balance of payments and to finance development projects. An unemployment rate of nearly 60% continues to be a major problem. While inflation is not a concern, due to the fixed tie of the Djiboutian franc to the US dollar, the artificially high value of the Djiboutian franc adversely affects Djibouti's balance of payments. Djibouti holds foreign reserves amounting to less than six months of import coverage. Djibouti has experienced relatively minimal impact from the global economic downturn, but its reliance on diesel-generated electricity and imported food leave average consumers vulnerable to global price shocks. President GUELLEH in 2013 told international investors that Djibouti’s development plan is to increase its prominence in financial and communication sectors. |
| GDP (purchasing power parity): | $2.505 billion (2013 est.) |
| GDP (purchasing power parity): | $2.386 billion (2012 est.) |
| GDP (purchasing power parity): | $2.275 billion (2011 est.) |
| GDP (purchasing power parity): | note: data are in 2013 US dollars |
| GDP (official exchange rate): | $1.459 billion (2013 est.) |
| GDP - real growth rate: | 5% (2013 est.) |
| GDP - real growth rate: | 4.8% (2012 est.) |
| GDP - real growth rate: | 4.5% (2011 est.) |
| GDP - per capita (PPP): | $2,700 (2013 est.) |
| GDP - per capita (PPP): | $2,700 (2012 est.) |
| GDP - per capita (PPP): | $2,600 (2011 est.) |
| GDP - per capita (PPP): | note: data are in 2013 US dollars |
| Gross national saving: | 21.5% of GDP (2013 est.) |
| Gross national saving: | 17% of GDP (2012 est.) |
| Gross national saving: | 16.2% of GDP (2011 est.) |
| GDP - composition, by end use: | household consumption: 56.6% |
| GDP - composition, by end use: | government consumption: 23.1% |
| GDP - composition, by end use: | investment in fixed capital: 35.7% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 35.2% |
| GDP - composition, by end use: | imports of goods and services: -51.1% |
| GDP - composition, by end use: | (2013 est.) |
| GDP - composition, by sector of origin: | agriculture: 3% |
| GDP - composition, by sector of origin: | industry: 17.3% |
| GDP - composition, by sector of origin: | services: 79.7% (2013 est.) |
| Agriculture - products: | fruits, vegetables; goats, sheep, camels, animal hides |
| Industries: | construction, agricultural processing |
| Industrial production growth rate: | 8% (2013 est.) |
| Labor force: | 294,600 (2012) |
| Labor force - by occupation: | agriculture: NA% |
| Labor force - by occupation: | industry: NA% |
| Labor force - by occupation: | services: NA% |
| Unemployment rate: | 59% (2007 est.) |
| Unemployment rate: | note: data are for urban areas only, unemployment is over 80% in rural areas |
| Population below poverty line: | 18.8% |
| Population below poverty line: | note: percent of population below $1.25 per day at purchasing power parity (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.4% |
| Household income or consumption by percentage share: | highest 10%: 30.9% (2002) |
| Distribution of family income - Gini index: | 40.9 (2002) |
| Budget: | revenues: $512.7 million |
| Budget: | expenditures: $532.9 million (2013 est.) |
| Taxes and other revenues: | 35.1% of GDP (2013 est.) |
| Budget surplus (+) or deficit (-): | -1.4% of GDP (2013 est.) |
| Public debt: | 38.6% of GDP (2012 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.5% (2013 est.) |
| Inflation rate (consumer prices): | 7.9% (2012 est.) |
| Commercial bank prime lending rate: | 11% (31 December 2013 est.) |
| Commercial bank prime lending rate: | 12% (31 December 2012 est.) |
| Stock of narrow money: | $850.8 million (31 December 2013 est.) |
| Stock of narrow money: | $758.9 million (31 December 2012 est.) |
| Stock of broad money: | $1.256 billion (31 December 2013 est.) |
| Stock of broad money: | $1.16 billion (31 December 2012 est.) |
| Stock of domestic credit: | $523.4 million (31 December 2013 est.) |
| Stock of domestic credit: | $483.4 million (31 December 2012 est.) |
| Current account balance: | -$219.5 million (2013 est.) |
| Current account balance: | -$216.2 million (2012 est.) |
| Exports: | $90.8 million (2013 est.) |
| Exports: | $87.9 million (2012 est.) |
| Exports - commodities: | reexports, hides and skins, coffee (in transit) |
| Exports - partners: | Somalia 80.1%, UAE 4.4%, Yemen 4.1% (2012) |
| Imports: | $593.3 million (2013 est.) |
| Imports: | $574.2 million (2012 est.) |
| Imports - commodities: | foods, beverages, transport equipment, chemicals, petroleum products |
| Imports - partners: | China 24.4%, Saudi Arabia 16.4%, India 10.6%, Indonesia 7.3% (2012) |
| Debt - external: | $821.6 million (31 December 2013 est.) |
| Debt - external: | $773.9 million (31 December 2012 est.) |
| Stock of direct foreign investment - at home: | $630.6 million (31 December 2013 est.) |
| Stock of direct foreign investment - at home: | $510.6 million (31 December 2012 est.) |
| Exchange rates: | Djiboutian francs (DJF) per US dollar - |
| Exchange rates: | 177.7 (2013 est.) |
| Exchange rates: | 177.72 (2012 est.) |
| Exchange rates: | 177.72 (2010 est.) |
