| Economy | AUSTRALIA |
| --- | --- |
| Economy - overview: | Following two decades of continuous growth, low unemployment, contained inflation, very low public debt, and a strong and stable financial system, Australia enters 2016 facing a range of growth constraints, principally driven by a sharp fall in global prices of key export commodities. Demand for resources and energy from Asia and especially China has stalled and sharp drops in current prices have impacted growth. |
| Economy - overview: | The services sector is the largest part of the Australian economy, accounting for about 70% of GDP and 75% of jobs. Australia was comparatively unaffected by the global financial crisis as the banking system has remained strong and inflation is under control. |
| Economy - overview: | Australia benefited from a dramatic surge in its terms of trade in recent years, although this trend has reversed due to falling global commodity prices. Australia is a significant exporter of natural resources, energy, and food. Australia's abundant and diverse natural resources attract high levels of foreign investment and include extensive reserves of coal, iron, copper, gold, natural gas, uranium, and renewable energy sources. A series of major investments, such as the US$40 billion Gorgon Liquid Natural Gas project, will significantly expand the resources sector. |
| Economy - overview: | Australia is an open market with minimal restrictions on imports of goods and services. The process of opening up has increased productivity, stimulated growth, and made the economy more flexible and dynamic. Australia plays an active role in the World Trade Organization, APEC, the G20, and other trade forums. Australia’s free trade agreement (FTA) with China entered into force in 2015, adding to existing FTAs with the Republic of Korea, Japan, Chile, Malaysia, New Zealand, Singapore, Thailand, and the US, and a regional FTA with ASEAN and New Zealand. Australia continues to negotiate bilateral agreements with India and Indonesia, as well as larger agreements with its Pacific neighbors and the Gulf Cooperation Council countries, and an Asia-wide Regional Comprehensive Economic Partnership that includes the ten ASEAN countries and China, Japan, Korea, New Zealand and India. Australia is also working on the Trans-Pacific Partnership Agreement with Brunei, Canada, Chile, Japan, Malaysia, Mexico, New Zealand, Peru, Singapore, the US, and Vietnam. |
| GDP (purchasing power parity): | $1.489 trillion (2015 est.) |
| GDP (purchasing power parity): | $1.454 trillion (2014 est.) |
| GDP (purchasing power parity): | $1.56 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $1.224 trillion (2015 est.) |
| GDP - real growth rate: | 2.5% (2015 est.) |
| GDP - real growth rate: | 2.6% (2014 est.) |
| GDP - real growth rate: | 2% (2013 est.) |
| GDP - per capita (PPP): | $65,400 (2015 est.) |
| GDP - per capita (PPP): | $64,700 (2014 est.) |
| GDP - per capita (PPP): | $65,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 21.3% of GDP (2015 est.) |
| Gross national saving: | 23.8% of GDP (2014 est.) |
| Gross national saving: | 24.2% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 57.5% |
| GDP - composition, by end use: | government consumption: 18.3% |
| GDP - composition, by end use: | investment in fixed capital: 26% |
| GDP - composition, by end use: | investment in inventories: 0.4% |
| GDP - composition, by end use: | exports of goods and services: 19.5% |
| GDP - composition, by end use: | imports of goods and services: -21.7% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.6% |
| GDP - composition, by sector of origin: | industry: 27.8% |
| GDP - composition, by sector of origin: | services: 68.6% (2015 est.) |
| Agriculture - products: | wheat, barley, sugarcane, fruits; cattle, sheep, poultry |
| Industries: | mining, industrial and transportation equipment, food processing, chemicals, steel |
| Industrial production growth rate: | 1.5% (2015 est.) |
| Labor force: | 12.5 million (2015 est.) |
| Labor force - by occupation: | agriculture: 3.6% |
| Labor force - by occupation: | industry: 21.1% |
| Labor force - by occupation: | services: 75.3% (2009 est.) |
| Unemployment rate: | 6.1% (2015 est.) |
| Unemployment rate: | 6.1% (2014 est.) |
| Population below poverty line: | NA% |
