| Economy | INDONESIA |
| --- | --- |
| Economy - overview: | Indonesia, the largest economy in Southeast Asia, has seen a slowdown in growth since 2012, mostly due to the end of the commodities export boom. During the global financial crisis, Indonesia outperformed its regional neighbors and joined China and India as the only G20 members posting growth. Indonesia’s annual budget deficit is capped at 3% of GDP, and the Government of Indonesia lowered its debt-to-GDP ratio from a peak of 100% shortly after the Asian financial crisis in 1999 to less than 25% today. Fitch and Moody's upgraded Indonesia's credit rating to investment grade in December 2011. |
| Economy - overview: | Indonesia still struggles with poverty and unemployment, inadequate infrastructure, corruption, a complex regulatory environment, and unequal resource distribution among its regions. President Joko WIDODO - elected in July 2014 – seeks to develop Indonesia’s maritime resources and pursue other infrastructure development, including significantly increasing its electrical power generation capacity. Fuel subsidies were significantly reduced in early 2015, a move which has helped the government redirect its spending to development priorities. Indonesia, with the nine other ASEAN members, will continue to move towards participation in the ASEAN Economic Community, though full implementation of economic integration has not yet materialized. |
| GDP (purchasing power parity): | $2.842 trillion (2015 est.) |
| GDP (purchasing power parity): | $2.712 trillion (2014 est.) |
| GDP (purchasing power parity): | $2.582 trillion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $859 billion (2015 est.) |
| GDP - real growth rate: | 4.8% (2015 est.) |
| GDP - real growth rate: | 5% (2014 est.) |
| GDP - real growth rate: | 5.6% (2013 est.) |
| GDP - per capita (PPP): | $11,100 (2015 est.) |
| GDP - per capita (PPP): | $10,800 (2014 est.) |
| GDP - per capita (PPP): | $10,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 32.5% of GDP (2015 est.) |
| Gross national saving: | 31.5% of GDP (2014 est.) |
| Gross national saving: | 30.7% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 57% |
| GDP - composition, by end use: | government consumption: 9.7% |
| GDP - composition, by end use: | investment in fixed capital: 33.2% |
| GDP - composition, by end use: | investment in inventories: -0.1% |
| GDP - composition, by end use: | exports of goods and services: 21.1% |
| GDP - composition, by end use: | imports of goods and services: -20.9% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 14% |
