| Economy | Lithuania |
| --- | --- |
| Economy - overview: | Lithuania gained membership in the World Trade Organization and joined the EU in May 2004. Despite its EU accession, Lithuania's trade with its Central and Eastern European neighbors, and Russia in particular, accounts for a significant share of total trade. Foreign investment and business support have helped in the transition from the old command economy to a market economy. Lithuania's economy grew on average 8% per year for the four years prior to 2008 driven by exports and domestic demand. Lithuania''s GDP plunged nearly 15% in 2009. The three former Soviet Baltic republics were among the hardest hit by the 2008-09 financial crisis. The government''s efforts to attract foreign investment, to develop export markets, and to pursue broad economic reforms has been key to Lithuania''s quick recovery from a deep recession, making Lithuania one of the fastest growing economies in the EU. Lithuania is committed to meeting the Maastricht criteria to join the euro zone, which the government expects to achieve by 2015. Under the Conservative Party''s leadership, Lithuania raised the monthly minimum wage in 2012 nearly 25% over 2011. Despite government efforts, unemployment - at 13.2% in 2012 - remains high. |
| GDP (purchasing power parity): | $64.31 billion (2012 est.) |
| GDP (purchasing power parity): | $62.07 billion (2011 est.) |
| GDP (purchasing power parity): | $58.63 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $41.57 billion (2012 est.) |
| GDP - real growth rate: | 3.6% (2012 est.) |
| GDP - real growth rate: | 5.9% (2011 est.) |
| GDP - real growth rate: | 1.5% (2010 est.) |
| GDP - per capita (PPP): | $21,400 (2012 est.) |
| GDP - per capita (PPP): | $20,500 (2011 est.) |
| GDP - per capita (PPP): | $17,800 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| Gross national saving: | 17.2% of GDP (2012 est.) |
| Gross national saving: | 18.9% of GDP (2011 est.) |
| Gross national saving: | 17.8% of GDP (2010 est.) |
| GDP - composition, by end use: | household consumption: 64% |
| GDP - composition, by end use: | government consumption: 17.6% |
| GDP - composition, by end use: | investment in fixed capital: 16.7% |
| GDP - composition, by end use: | investment in inventories: 1.3% |
| GDP - composition, by end use: | exports of goods and services: 84.2% |
| GDP - composition, by end use: | imports of goods and services: -83.8% |
| GDP - composition, by end use: | (2012 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.3% |
| GDP - composition, by sector of origin: | industry: 28.4% |
| GDP - composition, by sector of origin: | services: 68.4% (2012 est.) |
| Agriculture - products: | grain, potatoes, sugar beets, flax, vegetables; beef, milk, eggs; fish |
| Industries: | metal-cutting machine tools, electric motors, television sets, refrigerators and freezers, petroleum refining, shipbuilding (small ships), furniture making, textiles, food processing, fertilizers, agricultural machinery, optical equipment, electronic components, computers, amber jewelry |
| Industrial production growth rate: | 3.7% (2012 est.) |
| Labor force: | 1.474 million (2012 est.) |
| Labor force - by occupation: | agriculture: 7.9% |
