| Economy | Poland |
| --- | --- |
| Economic overview: | Poland has the sixth-largest economy in the EU and has long had a reputation as a business-friendly country with largely sound macroeconomic policies. Since 1990, Poland has pursued a policy of economic liberalization. During the 2008-09 economic slowdown Poland was the only EU country to avoid a recession, in part because of the governmentâ€™s loose fiscal policy combined with a commitment to rein in spending in the medium-term Poland is the largest recipient of EU development funds and their cyclical allocation can significantly impact the rate of economic growth. |
| Economic overview: | The Polish economy performed well during the 2014-17 period, with the real GDP growth rate generally exceeding 3%, in part because of increases in government social spending that have helped to accelerate consumer-driven growth. However, since 2015, Poland has implemented new business restrictions and taxes on foreign-dominated economic sectors, including banking and insurance, energy, and healthcare, that have dampened investor sentiment and has increased the governmentâ€™s ownership of some firms. The government reduced the retirement age in 2016 and has had mixed success in introducing new taxes and boosting tax compliance to offset the increased costs of social spending programs and relieve upward pressure on the budget deficit. Some credit ratings agencies estimate that Poland during the next few years is at risk of exceeding the EUâ€™s 3%-of-GDP limit on budget deficits, possibly impacting its access to future EU funds. Polandâ€™s economy is projected to perform well in the next few years in part because of an anticipated cyclical increase in the use of its EU development funds and continued, robust household spending. |
| Economic overview: | Poland faces several systemic challenges, which include addressing some of the remaining deficiencies in its road and rail infrastructure, business environment, rigid labor code, commercial court system, government red tape, and burdensome tax system, especially for entrepreneurs. Additional long-term challenges include diversifying Polandâ€™s energy mix, strengthening investments in innovation, research, and development, as well as stemming the outflow of educated young Poles to other EU member states, especially in light of a coming demographic contraction due to emigration, persistently low fertility rates, and the aging of the Solidarity-era baby boom generation. |
| GDP real growth rate: | 4.55% (2019 est.) |
| GDP real growth rate: | 5.36% (2018 est.) |
| GDP real growth rate: | 4.83% (2017 est.) |
| Inflation rate (consumer prices): | 2.1% (2019 est.) |
| Inflation rate (consumer prices): | 1.7% (2018 est.) |
| Inflation rate (consumer prices): | 2% (2017 est.) |
| Credit ratings: | Fitch rating: A- (2007) |
| Credit ratings: | Moody's rating: A2 (2002) |
| Credit ratings: | Standard & Poors rating: A- (2018) |
| GDP (purchasing power parity) - real: | $1,189,207,000,000 (2019 est.) |
| GDP (purchasing power parity) - real: | $1,137,551,000,000 (2018 est.) |
| GDP (purchasing power parity) - real: | $1,079,745,000,000 (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $595.72 billion (2019 est.) |
| GDP - per capita (PPP): | $18,768 (2019 est.) |
| GDP - per capita (PPP): | $17,937 (2018 est.) |
| GDP - per capita (PPP): | $17,011 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 20% of GDP (2017 est.) |
| Gross national saving: | 19.2% of GDP (2016 est.) |
| Gross national saving: | 19.9% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 40.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 57.4% (2017 est.) |
| GDP - composition, by end use: | household consumption: 58.6% (2017 est.) |
| GDP - composition, by end use: | government consumption: 17.7% (2017 est.) |
| GDP - composition, by end use: | investment in fixed capital: 17.7% (2017 est.) |
| GDP - composition, by end use: | investment in inventories: 2% (2017 est.) |
| GDP - composition, by end use: | exports of goods and services: 54% (2017 est.) |
| GDP - composition, by end use: | imports of goods and services: -49.9% (2017 est.) |
| Ease of Doing Business Index scores: | 82.9 (2020) |
| Agriculture - products: | potatoes, fruits, vegetables, wheat; poultry, eggs, pork, dairy |
| Industries: | machine building, iron and steel, coal mining, chemicals, shipbuilding, food processing, glass, beverages, textiles |
| Industrial production growth rate: | 7.5% (2017 est.) |
| Labor force: | 9.561 million (2020 est.) |
| Labor force - by occupation: | agriculture: 11.5% |
| Labor force - by occupation: | industry: 30.4% |
| Labor force - by occupation: | services: 57.6% (2015) |
| Unemployment rate: | 5.43% (2019 est.) |
| Unemployment rate: | 6.08% (2018 est.) |
| Population below poverty line: | 17.6% (2015 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3% |
| Household income or consumption by percentage share: | highest 10%: 23.9% (2015 est.) |
| Budget: | revenues: 207.5 billion (2017 est.) |
| Budget: | expenditures: 216.2 billion (2017 est.) |
| Taxes and other revenues: | 39.5% (of GDP) (2017 est.) |
| Budget surplus (+) or deficit (-): | -1.7% (of GDP) (2017 est.) |
| Public debt: | 50.6% of GDP (2017 est.) |
| Public debt: | 54.2% of GDP (2016 est.) |
| Public debt: | note: data cover general government debt and include debt instruments issued (or owned) by government entities other than the treasury; the data include treasury debt held by foreign entities, the data include subnational entities, as well as intragovernmental debt; intragovernmental debt consists of treasury borrowings from surpluses in the social funds, such as for retirement, medical care, and unemployment; debt instruments for the social funds are not sold at public auctions |
| Fiscal year: | calendar year |
| Current account balance: | $2.92 billion (2019 est.) |
| Current account balance: | -$7.52 billion (2018 est.) |
| Exports: | $394.848 billion (2019 est.) |
| Exports: | $375.525 billion (2018 est.) |
| Exports: | $351.125 billion (2017 est.) |
| Exports - partners: | Germany 27.4%, Czech Republic 6.4%, UK 6.4%, France 5.6%, Italy 4.9%, Netherlands 4.4% (2017) |
| Exports - commodities: | machinery and transport equipment 37.8%, intermediate manufactured goods 23.7%, miscellaneous manufactured goods 17.1%, food and live animals 7.6% (2012 est.) |
| Imports: | $364.993 billion (2019 est.) |
