| Economy | Slovakia |
| --- | --- |
| Economy - overview: | Slovakia has made significant economic reforms since its separation from the Czech Republic in 1993. Reforms to the taxation, healthcare, pension, and social welfare systems helped Slovakia consolidate its budget and get on track to join the EU in 2004 after a period of relative stagnation in the early and mid 1990s and to adopt the euro in January 2009. Major privatizations are nearly complete, the banking sector is almost entirely in foreign hands, and the government has helped facilitate a foreign investment boom with business friendly policies. Slovakia's economic growth exceeded expectations in 2001-08 despite a general European slowdown. Foreign direct investment (FDI), especially in the automotive and electronic sectors, fueled much of the growth until 2008. Cheap and skilled labor, low taxes, no dividend taxes, a relatively liberal labor code and a favorable geographical location are Slovakia's main advantages for foreign investors. The economy contracted 5% in 2009 primarily as a result of smaller inflows of FDI and reduced demand for Slovakia's exports before rebounding in 2010-11, but growth slowed in 2012 due to weakening external demand. The government of Prime Minister Robert FICO in 2012 implemented tax increases on higher-earning individuals and corporations, effectively scrapping Slovakia's flat tax to help meet budget deficit targets of 4.9% of GDP in 2012 and 3% of GDP in 2013. |
| GDP (purchasing power parity): | $132.4 billion (2012 est.) |
| GDP (purchasing power parity): | $129 billion (2011 est.) |
| GDP (purchasing power parity): | $124.8 billion (2010 est.) |
| GDP (purchasing power parity): | note: data are in 2012 US dollars |
| GDP (official exchange rate): | $91.19 billion (2012 est.) |
| GDP - real growth rate: | 2.6% (2012 est.) |
| GDP - real growth rate: | 3.3% (2011 est.) |
| GDP - real growth rate: | 4.2% (2010 est.) |
| GDP - per capita (PPP): | $24,300 (2012 est.) |
| GDP - per capita (PPP): | $23,700 (2011 est.) |
| GDP - per capita (PPP): | $23,000 (2010 est.) |
| GDP - per capita (PPP): | note: data are in 2012 US dollars |
| GDP - composition by sector: | agriculture: 3.8% |
| GDP - composition by sector: | industry: 36.4% |
| GDP - composition by sector: | services: 59.8% (2012 est.) |
| Labor force: | 2.724 million (2012 est.) |
| Labor force - by occupation: | agriculture: 3.5% |
| Labor force - by occupation: | industry: 27% |
| Labor force - by occupation: | services: 69.4% (December 2009) |
| Unemployment rate: | 12.8% (2012 est.) |
