| Economy | Slovenia |
| --- | --- |
| Economic overview: | With excellent infrastructure, a well-educated work force, and a strategic location between the Balkans and Western Europe, Slovenia has one of the highest per capita GDPs in Central Europe, despite having suffered a protracted recession in the 2008-09 period in the wake of the global financial crisis. Slovenia became the first 2004 EU entrant to adopt the euro (on 1 January 2007) and has experienced a stable political and economic transition. |
| Economic overview: | Â  |
| Economic overview: | In March 2004, Slovenia became the first transition country to graduate from borrower status to donor partner at the World Bank. In 2007, Slovenia was invited to begin the process for joining the OECD; it became a member in 2012. From 2014 to 2016, export-led growth, fueled by demand in larger European markets, pushed annual GDP growth above 2.3%. Growth reached 5.0% in 2017 and is projected to near or reach 5% in 2018. What used to be stubbornly high unemployment fell below 5.5% in early 2018, driven by strong exports and increasing consumption that boosted labor demand. Continued fiscal consolidation through increased tax collection and social security contributions will likely result in a balanced government budget in 2019. |
| Economic overview: | Â  |
| Economic overview: | Prime Minister CERARâ€™s government took office in September 2014, pledging to press ahead with commitments to privatize a select group of state-run companies, rationalize public spending, and further stabilize the banking sector. Efforts to privatize Sloveniaâ€™s largely state-owned banking sector have largely stalled, however, amid concerns about an ongoing dispute over Yugoslav-era foreign currency deposits. |
| GDP real growth rate: | 2.4% (2019 est.) |
| GDP real growth rate: | 4.24% (2018 est.) |
| GDP real growth rate: | 5.14% (2017 est.) |
| Inflation rate (consumer prices): | 1.6% (2019 est.) |
| Inflation rate (consumer prices): | 1.7% (2018 est.) |
| Inflation rate (consumer prices): | 1.4% (2017 est.) |
| Credit ratings: | Fitch rating: A (2019) |
| Credit ratings: | Moody's rating: A3 (2020) |
| Credit ratings: | Standard & Poors rating: AA- (2019) |
| GDP (purchasing power parity) - real: | $67.903 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $65.84 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $63.003 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $54.16 billion (2019 est.) |
| GDP - per capita (PPP): | $27,631 (2019 est.) |
| GDP - per capita (PPP): | $26,802 (2018 est.) |
| GDP - per capita (PPP): | $25,665 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 26.4% of GDP (2017 est.) |
| Gross national saving: | 24.2% of GDP (2016 est.) |
| Gross national saving: | 23.9% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 1.8% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 32.2% (2017 est.) |
| GDP - composition, by sector of origin: | services: 65.9% (2017 est.) |
