| Economy | SWITZERLAND |
| --- | --- |
| Economy - overview: | Switzerland, a country that espouses neutrality, is a prosperous and modern market economy with low unemployment, a highly skilled labor force, and a per capita GDP among the highest in the world. Switzerland's economy benefits from a highly developed service sector, led by financial services, and a manufacturing industry that specializes in high-technology, knowledge-based production. Its economic and political stability, transparent legal system, exceptional infrastructure, efficient capital markets, and low corporate tax rates also make Switzerland one of the world's most competitive economies. |
| Economy - overview: | The Swiss have brought their economic practices largely into conformity with the EU's to enhance their international competitiveness, but some trade protectionism remains, particularly for its small agricultural sector. The fate of the Swiss economy is tightly linked to that of its neighbors in the euro zone, which purchases half of Swiss exports. The global financial crisis of 2008 and resulting economic downturn in 2009 stalled demand for Swiss exports and put Switzerland into a recession. During this period, the Swiss National Bank (SNB) implemented a zero-interest rate policy to boost the economy, as well as to prevent appreciation of the franc, and Switzerland's economy began to recover in 2010. |
| Economy - overview: | The sovereign debt crises unfolding in neighboring euro-zone countries, however, coupled with ongoing economic instability in Russia and other eastern European economies continue to pose a significant risk to the Swiss economy, driving up demand for the Swiss franc by investors seeking a safe-haven currency. In January 2015, the SNB abandoned the Swiss franc’s peg to the euro, roiling global currency markets and making active SNB intervention a necessary hallmark of present-day Swiss monetary policy. The independent SNB has upheld its zero interest rate policy and conducted major market interventions to prevent further appreciation of the Swiss franc, but parliamentarians have urged it to do more to weaken the currency. The franc's strength has made Swiss exports less competitive and weakened the country's growth outlook; GDP growth fell below 2% per year from 2011-15. |
| Economy - overview: | In recent years, Switzerland has responded to increasing pressure from neighboring countries and trading partners to reform its banking secrecy laws, by agreeing to conform to OECD regulations on administrative assistance in tax matters, including tax evasion. The Swiss government has also renegotiated its double taxation agreements with numerous countries, including the US, to incorporate OECD standards, and is openly considering the possibility of imposing taxes on bank deposits held by foreigners. |
| GDP (purchasing power parity): | $482.3 billion (2015 est.) |
| GDP (purchasing power parity): | $478.3 billion (2014 est.) |
| GDP (purchasing power parity): | $469.4 billion (2013 est.) |
| GDP (purchasing power parity): | note: data are in 2015 US dollars |
| GDP (official exchange rate): | $664.6 billion (2015 est.) |
| GDP - real growth rate: | 0.9% (2015 est.) |
| GDP - real growth rate: | 1.9% (2014 est.) |
| GDP - real growth rate: | 1.8% (2013 est.) |
| GDP - per capita (PPP): | $58,600 (2015 est.) |
| GDP - per capita (PPP): | $58,800 (2014 est.) |
| GDP - per capita (PPP): | $58,400 (2013 est.) |
| GDP - per capita (PPP): | note: data are in 2015 US dollars |
| Gross national saving: | 33.8% of GDP (2015 est.) |
| Gross national saving: | 33.3% of GDP (2014 est.) |
| Gross national saving: | 35.9% of GDP (2013 est.) |
| GDP - composition, by end use: | household consumption: 54.5% |
| GDP - composition, by end use: | government consumption: 11.3% |
| GDP - composition, by end use: | investment in fixed capital: 23.8% |
| GDP - composition, by end use: | investment in inventories: -2% |
| GDP - composition, by end use: | exports of goods and services: 63.6% |
| GDP - composition, by end use: | imports of goods and services: -51.2% (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.7% |
| GDP - composition, by sector of origin: | industry: 25.7% |
| GDP - composition, by sector of origin: | services: 73.6% (2015 est.) |
| Agriculture - products: | grains, fruits, vegetables; meat, eggs |
| Industries: | machinery, chemicals, watches, textiles, precision instruments, tourism, banking, insurance |
| Industrial production growth rate: | 1.9% (2015 est.) |
| Labor force: | 5.105 million (2015 est.) |
| Labor force - by occupation: | agriculture: 3.4% |
| Labor force - by occupation: | industry: 23.4% |
| Labor force - by occupation: | services: 73.2% (2010) |
| Unemployment rate: | 3.2% (2015 est.) |
| Unemployment rate: | 3% (2014 est.) |
| Population below poverty line: | 7.6% (2011 est.) |
| Household income or consumption by percentage share: | lowest 10%: 7.5% |
| Household income or consumption by percentage share: | highest 10%: 19% (2007) |
| Distribution of family income - Gini index: | 28.7 (2012 est.) |
| Distribution of family income - Gini index: | 33.1 (1992) |
| Budget: | revenues: $230.9 billion |
| Budget: | expenditures: $229.8 billion |
| Budget: | note: includes federal, cantonal, and municipal budgets (2015 est.) |
| Taxes and other revenues: | 34.7% of GDP (2015 est.) |
| Budget surplus (+) or deficit (-): | 0.2% of GDP (2015 est.) |
| Public debt: | 34.4% of GDP (2015 est.) |
| Public debt: | 34.7% of GDP (2014 est.) |
| Public debt: | note: general government gross debt; gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future; includes debt liabilities in the form of Special Drawing Rights (SDRs), currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable; all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options |
| Fiscal year: | calendar year |
