| Economy | ARMENIA |
| --- | --- |
| Economy - overview: | Under the old Soviet central planning system, Armenia developed a modern industrial sector, supplying machine tools, textiles, and other manufactured goods to sister republics, in exchange for raw materials and energy. Armenia has since switched to small-scale agriculture and away from the large agroindustrial complexes of the Soviet era. Armenia has only two open trade borders - Iran and Georgia - because its borders with Azerbaijan and Turkey have been closed since 1991 and 1993, respectively, as a result of Armenia's ongoing conflict with Azerbaijan over the separatist Nagorno-Karabakh region. Armenia's geographic isolation, a narrow export base, and pervasive monopolies in important business sectors have made it particularly vulnerable to the sharp deterioration in the global economy and the economic downturn in Russia. Armenia is particularly dependent on Russian commercial and governmental support and most key Armenian infrastructure is Russian-owned and/or managed, especially in the energy sector, including electricity and natural gas. Remittances from expatriates working in Russia are equivalent to about 20% of GDP and partly offset the country's severe trade imbalance. Armenia joined Russia in the Eurasian Economic Union upon the bloc&rsquo;s launch in January 2015, even though the ruble&rsquo;s sharp depreciation in December 2014 led to currency instability, inflation, and significant decrease of export from Armenia to Russia. Armenia joined the WTO in January 2003. The government has made some improvements in tax and customs administration in recent years, but anti-corruption measures have been ineffective. Armenia will need to pursue additional economic reforms and to strengthen the rule of law in order to regain economic growth and improve economic competitiveness and employment opportunities, especially given its economic isolation from two of its nearest neighbors, Turkey and Azerbaijan. |
| GDP (purchasing power parity): | $24.28 billion (2014 est.) |
| GDP (purchasing power parity): | $23.48 billion (2013 est.) |
| GDP (purchasing power parity): | $22.68 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $10.88 billion (2014 est.) |
| GDP - real growth rate: | 3.4% (2014 est.) |
| GDP - real growth rate: | 3.5% (2013 est.) |
| GDP - real growth rate: | 7.1% (2012 est.) |
| GDP - per capita (PPP): | $7,400 (2014 est.) |
| GDP - per capita (PPP): | $7,100 (2013 est.) |
| GDP - per capita (PPP): | $6,900 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 13% of GDP (2014 est.) |
| Gross national saving: | 13.6% of GDP (2013 est.) |
| Gross national saving: | 12.4% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 87.7% |
| GDP - composition, by end use: | government consumption: 14.8% |
| GDP - composition, by end use: | investment in fixed capital: 20.5% |
| GDP - composition, by end use: | investment in inventories: -3.3% |
| GDP - composition, by end use: | exports of goods and services: 27.2% |
| GDP - composition, by end use: | imports of goods and services: -46.9% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 21.9% |
| GDP - composition, by sector of origin: | industry: 31.5% |
| GDP - composition, by sector of origin: | services: 46.6% (2014 est.) |
| Agriculture - products: | fruit (especially grapes), vegetables; livestock |
| Industries: | diamond processing, metal-cutting machine tools, forging and pressing machines, electric motors, knitted wear, hosiery, shoes, silk fabric, chemicals, trucks, instruments, microelectronics, jewelry, software, food processing, brandy, mining |
| Industrial production growth rate: | 2.7% (2014 est.) |
| Labor force: | 1.489 million (2014 est.) |
| Labor force - by occupation: | agriculture: 39% |
| Labor force - by occupation: | industry: 17% |
| Labor force - by occupation: | services: 44% (2011 est.) |
| Unemployment rate: | 17.6% (2014 est.) |
| Unemployment rate: | 16.2% (2013 est.) |
| Population below poverty line: | 32% (2013 est.) |
| Household income or consumption by percentage share: | lowest 10%: 3.7% |
