| Economy | BAHRAIN |
| --- | --- |
| Economy - overview: | Low oil prices have generated a budget deficit of at least a $4 billion deficit in 2016, nearly 14% of GDP. Bahrain has few options for covering this deficit, with meager foreign assets and a constrained borrowing ability. In the last year the three major US credit agencies downgraded Bahrain’s sovereign debt rating to “junk” status, citing persistently low oil prices and the government’s inability to more effectively cut spending. |
| Economy - overview: | Oil comprises 86% of Bahraini budget revenues, despite past efforts to diversify its economy and to build communication and transport facilities for multinational firms with business in the Gulf. As part of its diversification plans, Bahrain implemented a Free Trade Agreement (FTA) with the US in August 2006, the first FTA between the US and a Gulf state. |
| Economy - overview: | Other major economic activities are production of aluminum - Bahrain's second biggest export after oil - finance, and construction. Bahrain continues to seek new natural gas supplies as feedstock to support its expanding petrochemical and aluminum industries. |
| Economy - overview: | In 2011, Bahrain experienced economic setbacks as a result of domestic unrest driven by the majority Shia population; however, the economy recovered in 2012-15, partly as a result of improved tourism. In addition to addressing its current fiscal woes, Bahraini authorities face the long-term challenge of boosting Bahrain’s regional competitiveness — especially regarding industry, finance, and tourism — and reconciling revenue constraints with popular pressure to maintain generous state subsidies and a large public sector. Over the past year, the government lifted subsidies on meat, diesel, kerosene, and gasoline and announced new higher prices for electricity and water, although it plans to roll these increases out more gradually than previous subsidy cuts. |
| GDP (purchasing power parity): | $66.92 billion (2016 est.) |
| GDP (purchasing power parity): | $64.17 billion (2015 est.) |
| GDP (purchasing power parity): | $61.71 billion (2014 est.) |
| GDP (purchasing power parity): | note: data are in 2016 dollars |
| GDP (official exchange rate): | $31.86 billion (2016 est.) |
| GDP - real growth rate: | 3% (2016 est.) |
| GDP - real growth rate: | 2.9% (2015 est.) |
| GDP - real growth rate: | 4.4% (2014 est.) |
| GDP - per capita (PPP): | $50,700 (2016 est.) |
| GDP - per capita (PPP): | $50,200 (2015 est.) |
| GDP - per capita (PPP): | $49,800 (2014 est.) |
| GDP - per capita (PPP): | note: data are in 2016 dollars |
| Gross national saving: | 21% of GDP (2016 est.) |
| Gross national saving: | 22% of GDP (2015 est.) |
| Gross national saving: | 31.4% of GDP (2014 est.) |
| GDP - composition, by end use: | household consumption: 45.6% |
| GDP - composition, by end use: | government consumption: 16% |
| GDP - composition, by end use: | investment in fixed capital: 25.2% |
| GDP - composition, by end use: | investment in inventories: 2.9% |
| GDP - composition, by end use: | exports of goods and services: 75.9% |
| GDP - composition, by end use: | imports of goods and services: -65.6% (2016 est.) |
| GDP - composition, by sector of origin: | agriculture: 0.3% |
| GDP - composition, by sector of origin: | industry: 37.3% |
| GDP - composition, by sector of origin: | services: 62.3% (2016 est.) |
| Agriculture - products: | fruit, vegetables; poultry, dairy products; shrimp, fish |
| Industries: | petroleum processing and refining, aluminum smelting, iron pelletization, fertilizers, Islamic and offshore banking, insurance, ship repairing, tourism |
| Industrial production growth rate: | 2.8% (2016 est.) |
| Labor force: | 808,900 |
| Labor force: | note: excludes unemployed; 44% of the population in the 15-64 age group is non-national (2016 est.) |
| Labor force - by occupation: | agriculture: 1% |
| Labor force - by occupation: | industry: 32% |
| Labor force - by occupation: | services: 67% (2004 est.) |
| Unemployment rate: | 3.7% (2016 est.) |
| Unemployment rate: | 4.3% (2013 est.) |
| Unemployment rate: | note: official estimate; actual rate is higher |
| Population below poverty line: | NA% |
| Household income or consumption by percentage share: | lowest 10%: NA% |
| Household income or consumption by percentage share: | highest 10%: NA% |
| Budget: | revenues: $5.047 billion |
| Budget: | expenditures: $9.394 billion (2016 est.) |
| Taxes and other revenues: | 15.8% of GDP (2016 est.) |
| Budget surplus (+) or deficit (-): | -13.6% of GDP (2016 est.) |
| Public debt: | 72% of GDP (2016 est.) |
| Public debt: | 60.3% of GDP (2015 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 2.8% (2016 est.) |
| Inflation rate (consumer prices): | 1.8% (2015 est.) |
| Commercial bank prime lending rate: | 5.2% (31 December 2016 est.) |
| Commercial bank prime lending rate: | 4.78% (31 December 2015 est.) |
| Stock of narrow money: | $9.157 billion (31 December 2016 est.) |
| Stock of narrow money: | $9.105 billion (31 December 2015 est.) |
| Stock of broad money: | $27.36 billion (31 December 2016 est.) |
| Stock of broad money: | $27.02 billion (31 December 2015 est.) |
| Stock of domestic credit: | $29.08 billion (31 December 2016 est.) |
| Stock of domestic credit: | $28.29 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $19.25 billion (31 December 2015 est.) |
| Market value of publicly traded shares: | $22.07 billion (31 December 2014 est.) |
| Market value of publicly traded shares: | $18.57 billion (31 December 2013 est.) |
| Current account balance: | $-1.493 billion (2016 est.) |
