| Economy | Iraq |
| --- | --- |
| Economic overview: | Iraq's GDP growth slowed to 1.1% in 2017, a marked decline compared to the previous two years as domestic consumption and investment fell because of civil violence and a sluggish oil market. The Iraqi Government received its third tranche of funding from its 2016 Stand-By Arrangement (SBA) with the IMF in August 2017, which is intended to stabilize its finances by encouraging improved fiscal management, needed economic reform, and expenditure reduction. Additionally, in late 2017 Iraq received more than $1.4 billion in financing from international lenders, part of which was generated by issuing a $1 billion bond for reconstruction and rehabilitation in areas liberated from ISIL. Investment and key sector diversification are crucial components to Iraqâ€™s long-term economic development and require a strengthened business climate with enhanced legal and regulatory oversight to bolster private-sector engagement. The overall standard of living depends on global oil prices, the central government passage of major policy reforms, a stable security environment post-ISIS, and the resolution of civil discord with the Kurdish Regional Government (KRG). |
| Economic overview: | Iraq's largely state-run economy is dominated by the oil sector, which provides roughly 85% of government revenue and 80% of foreign exchange earnings, and is a major determinant of the economy's fortunes. Iraq's contracts with major oil companies have the potential to further expand oil exports and revenues, but Iraq will need to make significant upgrades to its oil processing, pipeline, and export infrastructure to enable these deals to reach their economic potential. |
| Economic overview: | In 2017, Iraqi oil exports from northern fields were disrupted following a KRG referendum that resulted in the Iraqi Government reasserting federal control over disputed oil fields and energy infrastructure in Kirkuk. The Iraqi government and the KRG dispute the role of federal and regional authorities in the development and export of natural resources. In 2007, the KRG passed an oil law to develop IKR oil and gas reserves independent of the federal government. The KRG has signed about 50 contracts with foreign energy companies to develop its reserves, some of which lie in territories taken by Baghdad in October 2017. The KRG is able to unilaterally export oil from the fields it retains control of through its own pipeline to Turkey, which Baghdad claims is illegal. In the absence of a national hydrocarbons law, the two sides have entered into five provisional oil- and revenue-sharing deals since 2009, all of which collapsed. |
| Economic overview: | Iraq is making slow progress enacting laws and developing the institutions needed to implement economic policy, and political reforms are still needed to assuage investors' concerns regarding the uncertain business climate. The Government of Iraq is eager to attract additional foreign direct investment, but it faces a number of obstacles, including a tenuous political system and concerns about security and societal stability. Rampant corruption, outdated infrastructure, insufficient essential services, skilled labor shortages, and antiquated commercial laws stifle investment and continue to constrain growth of private, nonoil sectors. Under the Iraqi constitution, some competencies relevant to the overall investment climate are either shared by the federal government and the regions or are devolved entirely to local governments. Investment in the IKR operates within the framework of the Kurdistan Region Investment Law (Law 4 of 2006) and the Kurdistan Board of Investment, which is designed to provide incentives to help economic development in areas under the authority of the KRG. |
| Economic overview: | Inflation has remained under control since 2006. However, Iraqi leaders remain hard-pressed to translate macroeconomic gains into an improved standard of living for the Iraqi populace. Unemployment remains a problem throughout the country despite a bloated public sector. Overregulation has made it difficult for Iraqi citizens and foreign investors to start new businesses. Corruption and lack of economic reforms - such as restructuring banks and developing the private sector â€“ have inhibited the growth of the private sector. |
| GDP real growth rate: | -2.1% (2017 est.) |
| GDP real growth rate: | 13.1% (2016 est.) |
| GDP real growth rate: | 2.5% (2015 est.) |
| Inflation rate (consumer prices): | -0.1% (2019 est.) |
| Inflation rate (consumer prices): | 0.3% (2018 est.) |
| Inflation rate (consumer prices): | 0.2% (2017 est.) |
| Credit ratings: | Fitch rating: B- (2015) |
| Credit ratings: | Moody's rating: Caa1 (2017) |
| Credit ratings: | Standard & Poors rating: B- (2015) |
| GDP (purchasing power parity) - real: | $600.154 billion (2019 est.) |
| GDP (purchasing power parity) - real: | $574.855 billion (2018 est.) |
| GDP (purchasing power parity) - real: | $578.113 billion (2017 est.) |
| GDP (purchasing power parity) - real: | note: data are in 2010 dollars |
| GDP (official exchange rate): | $231.994 billion (2019 est.) |
| GDP - per capita (PPP): | $5,604 (2019 est.) |
| GDP - per capita (PPP): | $5,490 (2018 est.) |
| GDP - per capita (PPP): | $5,651 (2017 est.) |
| GDP - per capita (PPP): | note: data are in 2010 dollars |
| Gross national saving: | 19% of GDP (2017 est.) |
| Gross national saving: | 13.1% of GDP (2016 est.) |
| Gross national saving: | 18.4% of GDP (2015 est.) |
| GDP - composition, by sector of origin: | agriculture: 3.3% (2017 est.) |
| GDP - composition, by sector of origin: | industry: 51% (2017 est.) |
| GDP - composition, by sector of origin: | services: 45.8% (2017 est.) |
