| Economy | ISRAEL |
| --- | --- |
| Economy - overview: | Israel has a technologically advanced market economy. Cut diamonds, high-technology equipment, and pharmaceuticals are among the leading exports. Its major imports include crude oil, grains, raw materials, and military equipment. Israel usually posts sizable trade deficits, which are covered by tourism and other service exports, as well as significant foreign investment inflows. Between 2004 and 2013, growth averaged nearly 5% per year, led by exports. The global financial crisis of 2008-09 spurred a brief recession in Israel, but the country entered the crisis with solid fundamentals, following years of prudent fiscal policy and a resilient banking sector. Israel's economy also has weathered the Arab Spring because strong trade ties outside the Middle East have insulated the economy from spillover effects. Slowing demand domestically and internationally and reduced investment due to uncertainties caused by the Gaza conflict in summer 2014 have reduced GDP growth to about 2% during 2014. Natural gas fields discovered off Israel's coast since 2009 have brightened Israel's energy security outlook. The Tamar and Leviathan fields were some of the world's largest offshore natural gas finds this past decade. The massive Leviathan field is expected to come online no sooner than 2017, but production from Tamar provided a one percentage point boost to Israel's GDP in 2013 and a 0.5% boost in 2014. In mid-2011, public protests arose around income inequality and rising housing and commodity prices. Israel's income inequality and poverty rates are among the highest of OECD countries and there is a broad perception among the public that a small number of "tycoons" have a cartel-like grip over the major parts of the economy. The government formed committees and has started splitting up the oligopolies to address some of the grievances but has maintained that it will not engage in deficit spending to satisfy populist demands. Over the long term, Israel faces structural issues, including low labor participation rates for its fastest growing social segments - the ultra-orthodox and Arab-Israeli communities. Also, Israel's progressive, globally competitive, knowledge-based technology sector employs only 9% of the workforce, with the rest employed in manufacturing and services - sectors which face downward wage pressures from global competition. |
| GDP (purchasing power parity): | $268.5 billion (2014 est.) |
| GDP (purchasing power parity): | $261.3 billion (2013 est.) |
| GDP (purchasing power parity): | $253 billion (2012 est.) |
| GDP (purchasing power parity): | note: data are in 2014 US dollars |
| GDP (official exchange rate): | $303.8 billion (2014 est.) |
| GDP - real growth rate: | 2.8% (2014 est.) |
| GDP - real growth rate: | 3.2% (2013 est.) |
| GDP - real growth rate: | 3% (2012 est.) |
| GDP - per capita (PPP): | $32,700 (2014 est.) |
| GDP - per capita (PPP): | $31,800 (2013 est.) |
| GDP - per capita (PPP): | $30,800 (2012 est.) |
| GDP - per capita (PPP): | note: data are in 2014 US dollars |
| Gross national saving: | 21.9% of GDP (2014 est.) |
| Gross national saving: | 22% of GDP (2013 est.) |
| Gross national saving: | 21.6% of GDP (2012 est.) |
| GDP - composition, by end use: | household consumption: 57% |
| GDP - composition, by end use: | government consumption: 22.6% |
| GDP - composition, by end use: | investment in fixed capital: 18.9% |
| GDP - composition, by end use: | investment in inventories: 0.5% |
| GDP - composition, by end use: | exports of goods and services: 31.8% |
| GDP - composition, by end use: | imports of goods and services: -30.7% |
| GDP - composition, by end use: | (2014 est.) |
| GDP - composition, by sector of origin: | agriculture: 2.4% |
| GDP - composition, by sector of origin: | industry: 25.7% |
| GDP - composition, by sector of origin: | services: 71.9% (2014 est.) |
| Agriculture - products: | citrus, vegetables, cotton; beef, poultry, dairy products |
| Industries: | high-technology products (including aviation, communications, computer-aided design and manufactures, medical electronics, fiber optics), wood and paper products, potash and phosphates, food, beverages, and tobacco, caustic soda, cement, construction, metal products, chemical products, plastics, cut diamonds, textiles, footwear |
| Industrial production growth rate: | -4.6% (2014 est.) |
| Labor force: | 3.784 million (2014 est.) |
| Labor force - by occupation: | agriculture: 1.6% |
| Labor force - by occupation: | industry: 18.1% |
| Labor force - by occupation: | services: 80.3% (2012) |
| Unemployment rate: | 6% (2014 est.) |
| Unemployment rate: | 6.2% (2013 est.) |
| Population below poverty line: | 21% |
| Population below poverty line: | note: Israel's poverty line is $7.30 per person per day (2012 est.) |
| Household income or consumption by percentage share: | lowest 10%: 2.5% |
| Household income or consumption by percentage share: | highest 10%: 24.3% (2008) |
| Distribution of family income - Gini index: | 37.6 (2012) |
| Distribution of family income - Gini index: | 39.2 (2008) |
| Budget: | revenues: $73.44 billion |
| Budget: | expenditures: $81.82 billion (2014 est.) |
| Taxes and other revenues: | 24.1% of GDP (2014 est.) |
| Budget surplus (+) or deficit (-): | -2.7% of GDP (2014 est.) |
| Public debt: | 67.4% of GDP (2014 est.) |
| Public debt: | 66.5% of GDP (2013 est.) |
| Fiscal year: | calendar year |
| Inflation rate (consumer prices): | 0.5% (2014 est.) |
| Inflation rate (consumer prices): | 1.5% (2013 est.) |
| Central bank discount rate: | 0.25% (31 December 2014) |
| Central bank discount rate: | 1% (31 December 2013) |
| Commercial bank prime lending rate: | 3.3% (31 December 2014 est.) |
| Commercial bank prime lending rate: | 4.54% (31 December 2013 est.) |
| Stock of narrow money: | $45.46 billion (31 December 2014 est.) |
| Stock of narrow money: | $35.05 billion (31 December 2013 est.) |
| Stock of broad money: | $153.5 billion (31 December 2014 est.) |
